Fecha,Clics,Impresiones,CTR,Costo
"lun, 5 may 2025",0,0,0.00%,MXN0.00
"mar, 6 may 2025",12,41,29.27%,MXN199.91
"mié, 7 may 2025",9,66,13.64%,MXN138.01
"jue, 8 may 2025",9,72,12.50%,MXN117.45
"vie, 9 may 2025",9,115,7.83%,MXN82.00
"sáb, 10 may 2025",17,184,9.24%,MXN128.85
"dom, 11 may 2025",12,124,9.68%,MXN78.23
"lun, 12 may 2025",14,178,7.87%,MXN95.63
"mar, 13 may 2025",0,1,0.00%,MXN0.00
"mié, 14 may 2025",1,12,8.33%,MXN6.74
"jue, 15 may 2025",1,4,25.00%,MXN12.22
"vie, 16 may 2025",31,212,14.62%,MXN198.09
"sáb, 17 may 2025",22,148,14.86%,MXN199.01
"dom, 18 may 2025",19,116,16.38%,MXN195.84
"lun, 19 may 2025",10,96,10.42%,MXN99.80
"mar, 20 may 2025",14,98,14.29%,MXN103.21
"mié, 21 may 2025",13,118,11.02%,MXN99.31
"jue, 22 may 2025",18,112,16.07%,MXN101.17
"vie, 23 may 2025",12,122,9.84%,MXN101.95
"sáb, 24 may 2025",18,87,20.69%,MXN106.42
"dom, 25 may 2025",21,185,11.35%,MXN100.06
"lun, 26 may 2025",0,4,0.00%,MXN0.00
